Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$25,000 under $50,000",14009," 14,172 ", 714 
"$50,000 under $75,000",14009," 16,160 ", 400 
"$75,000 under $100,000",14009," 12,606 ", 204 
"$100,000 under $200,000",14009," 17,238 ", 176 
"$200,000 or more",14009," 4,398 ", 14 
,,,
,14011," 80,859 "," 2,827 "
"Under $10,000",14011, 128 , 496 
"$10,000 under $25,000",14011," 3,011 ", 559 
"$25,000 under $50,000",14011," 14,688 ", 711 
"$50,000 under $75,000",14011," 21,313 ", 524 
"$75,000 under $100,000",14011," 20,024 ", 325 
"$100,000 under $200,000",14011," 18,928 ", 199 
"$200,000 or more",14011," 2,766 ", 13 
,,,
,14012," 27,832 "," 1,089 "
"Under $10,000",14012, 24 , 173 
"$10,000 under $25,000",14012," 1,410 ", 271 
"$25,000 under $50,000",14012," 5,222 ", 281 
"$50,000 under $75,000",14012," 7,776 ", 195 
"$75,000 under $100,000",14012," 6,097 ", 99 
"$100,000 under $200,000",14012," 7,303 ", 70 
"$200,000 or more",14012, . , * 
,,,
,14013," 16,816 ", 787 
"Under $10,000",14013, 35 , 169 
"$10,000 under $25,000",14013," 1,048 ", 198 
"$25,000 under $50,000",14013," 4,031 ", 207 
"$50,000 under $75,000",14013," 4,705 ", 121 
"$75,000 under $100,000",14013," 3,400 ", 55 
"$100,000 under $200,000",14013," 3,597 ", 37 
"$200,000 or more",14013, . , * 
,,,
,14020," 293,771 "," 10,371 "
"Under $10,000",14020, 490 ," 2,231 "
"$10,000 under $25,000",14020," 14,391 "," 2,680 "
"$25,000 under $50,000",14020," 52,287 "," 2,538 "
"$50,000 under $75,000",14020," 54,426 "," 1,337 "
"$75,000 under $100,000",14020," 52,364 ", 857 
"$100,000 under $200,000",14020," 60,431 ", 622 
"$200,000 or more",14020," 59,383 ", 106 
,,,
,14024," 17,488 ", 721 
"Under $10,000",14024, 24 , 124 
"$10,000 under $25,000",14024, 803 , 167 
"$25,000 under $50,000",14024," 3,876 ", 201 
"$50,000 under $75,000",14024," 4,794 ", 120 
"$75,000 under $100,000",14024," 4,406 ", 71 
"$100,000 under $200,000",14024," 3,585 ", 38 
"$200,000 or more",14024, . , * 
,,,
,14025," 64,690 "," 1,536 "
"Under $10,000",14025, 120 , 240 
"$10,000 under $25,000",14025," 1,570 ", 264 
"$25,000 under $50,000",14025," 7,540 ", 356 
"$50,000 under $75,000",14025," 10,204 ", 261 
"$75,000 under $100,000",14025," 11,615 ", 189 
"$100,000 under $200,000",14025," 19,422 ", 200 
"$200,000 or more",14025," 14,218 ", 26 
,,,
,14026," 11,955 ", 417 
"Under $10,000",14026, 25 , 82 
"$10,000 under $25,000",14026, 585 , 90 
"$25,000 under $50,000",14026," 1,923 ", 97 
"$50,000 under $75,000",14026," 2,780 ", 68 
"$75,000 under $100,000",14026," 2,445 ", 39 
"$100,000 under $200,000",14026," 4,197 ", 41 
"$200,000 or more",14026, . , * 
,,,
,14028," 21,728 ", 728 
"Under $10,000",14028, 47 , 129 
"$10,000 under $25,000",14028, 858 , 149 
"$25,000 under $50,000",14028," 3,479 ", 176 
"$50,000 under $75,000",14028," 4,462 ", 109 
"$75,000 under $100,000",14028," 5,120 ", 83 
"$100,000 under $200,000",14028," 7,762 ", 82 
"$200,000 or more",14028, . , * 
,,,
,14030," 18,406 ", 766 
"Under $10,000",14030, 44 , 164 
"$10,000 under $25,000",14030, 985 , 173 
"$25,000 under $50,000",14030," 3,733 ", 189 
"$50,000 under $75,000",14030," 5,025 ", 126 
"$75,000 under $100,000",14030," 4,194 ", 68 
"$100,000 under $200,000",14030," 4,425 ", 46 
"$200,000 or more",14030, . , * 
,,,
,14031," 343,143 "," 4,792 "
"Under $10,000",14031, 352 ," 1,000 "
"$10,000 under $25,000",14031," 5,090 ", 846 
"$25,000 under $50,000",14031," 17,734 ", 868 
"$50,000 under $75,000",14031," 24,224 ", 614 
"$75,000 under $100,000",14031," 27,251 ", 458 
"$100,000 under $200,000",14031," 64,370 ", 649 
"$200,000 or more",14031," 204,122 ", 357 
,,,
,14032," 215,960 "," 3,566 "
"Under $10,000",14032, 333 , 687 
"$10,000 under $25,000",14032," 2,521 ", 439 
"$25,000 under $50,000",14032," 11,438 ", 580 
"$50,000 under $75,000",14032," 16,943 ", 442 
"$75,000 under $100,000",14032," 25,098 ", 437 
"$100,000 under $200,000",14032," 67,648 ", 703 
"$200,000 or more",14032," 91,980 ", 278 
,,,
,14033," 45,684 "," 1,143 "
"Under $10,000",14033, 84 , 202 
"$10,000 under $25,000",14033, 976 , 165 
"$25,000 under $50,000",14033," 4,511 ", 228 
"$50,000 under $75,000",14033," 8,452 ", 210 
"$75,000 under $100,000",14033," 8,166 ", 137 
"$100,000 under $200,000",14033," 17,004 ", 180 
"$200,000 or more",14033," 6,491 ", 21 
,,,
,14034," 24,932 ", 888 
"Under $10,000",14034, 37 , 150 
"$10,000 under $25,000",14034," 1,013 ", 188 
"$25,000 under $50,000",14034," 5,075 ", 236 
"$50,000 under $75,000",14034," 6,427 ", 158 
"$75,000 under $100,000",14034," 6,028 ", 97 
"$100,000 under $200,000",14034," 6,352 ", 59 
"$200,000 or more",14034, . , * 
,,,
,14036," 69,137 "," 2,390 "
"Under $10,000",14036, 183 , 476 
"$10,000 under $25,000",14036," 2,780 ", 519 
"$25,000 under $50,000",14036," 11,476 ", 574 
"$50,000 under $75,000",14036," 14,830 ", 380 
"$75,000 under $100,000",14036," 12,846 ", 215 
"$100,000 under $200,000",14036," 19,495 ", 204 
"$200,000 or more",14036," 7,527 ", 22 
,,,
,14037," 19,892 ", 593 
"Under $10,000",14037, 12 , 101 
"$10,000 under $25,000",14037, 676 , 134 
"$25,000 under $50,000",14037," 2,557 ", 125 
"$50,000 under $75,000",14037," 4,203 ", 103 
"$75,000 under $100,000",14037," 4,289 ", 71 
"$100,000 under $200,000",14037," 4,644 ", 48 
"$200,000 or more",14037," 3,510 ", 11 
,,,
,14040," 29,771 "," 1,102 "
"Under $10,000",14040, 54 , 212 
"$10,000 under $25,000",14040," 1,235 ", 232 
"$25,000 under $50,000",14040," 5,084 ", 249 
"$50,000 under $75,000",14040," 7,609 ", 197 
"$75,000 under $100,000",14040," 7,604 ", 123 
"$100,000 under $200,000",14040," 8,184 ", 89 
"$200,000 or more",14040, . , * 
,,,
,14042," 36,848 "," 1,718 "
"Under $10,000",14042, 76 , 351 
"$10,000 under $25,000",14042," 2,138 ", 426 
"$25,000 under $50,000",14042," 9,404 ", 490 
"$50,000 under $75,000",14042," 9,302 ", 237 
"$75,000 under $100,000",14042," 9,027 ", 147 
"$100,000 under $200,000",14042," 6,900 ", 67 
"$200,000 or more",14042, . , * 
,,,
,14043," 355,502 "," 13,172 "
"Under $10,000",14043, 833 ," 2,221 "
"$10,000 under $25,000",14043," 18,235 "," 3,071 "
"$25,000 under $50,000",14043," 75,299 "," 3,556 "
"$50,000 under $75,000",14043," 89,953 "," 2,175 "
"$75,000 under $100,000",14043," 78,211 "," 1,263 "
"$100,000 under $200,000",14043," 77,636 ", 829 
"$200,000 or more",14043," 15,335 ", 57 
,,,
,14047," 108,354 "," 3,256 "
"Under $10,000",14047, 222 , 539 
"$10,000 under $25,000",14047," 3,977 ", 652 
"$25,000 under $50,000",14047," 17,386 ", 816 
"$50,000 under $75,000",14047," 21,266 ", 523 
"$75,000 under $100,000",14047," 22,312 ", 370 
"$100,000 under $200,000",14047," 29,612 ", 315 
"$200,000 or more",14047," 13,579 ", 41 
,,,
,14048," 147,266 "," 6,755 "
"Under $10,000",14048, 291 ," 1,573 "
"$10,000 under $25,000",14048," 8,628 "," 1,871 "
"$25,000 under $50,000",14048," 35,378 "," 1,704 "
"$50,000 under $75,000",14048," 35,309 ", 849 
"$75,000 under $100,000",14048," 27,921 ", 446 
"$100,000 under $200,000",14048," 26,620 ", 271 
"$200,000 or more",14048," 13,120 ", 41 
,,,
,14051," 690,191 "," 9,705 "
"Under $10,000",14051, 998 ," 2,006 "
"$10,000 under $25,000",14051," 7,271 "," 1,162 "
"$25,000 under $50,000",14051," 26,334 "," 1,253 "
"$50,000 under $75,000",14051," 38,771 ", 984 
"$75,000 under $100,000",14051," 66,363 "," 1,131 "
"$100,000 under $200,000",14051," 224,454 "," 2,246 "
"$200,000 or more",14051," 326,000 ", 923 
,,,
,14052," 428,854 "," 8,795 "
"Under $10,000",14052, 629 ," 1,704 "
"$10,000 under $25,000",14052," 7,664 "," 1,348 "
"$25,000 under $50,000",14052," 34,391 "," 1,654 "
"$50,000 under $75,000",14052," 52,569 "," 1,307 "
"$75,000 under $100,000",14052," 66,191 "," 1,109 "
"$100,000 under $200,000",14052," 127,876 "," 1,314 "
"$200,000 or more",14052," 139,534 ", 359 
,,,
,14054," 19,038 ", 650 
"Under $10,000",14054, 36 , 107 
"$10,000 under $25,000",14054, 709 , 119 
"$25,000 under $50,000",14054," 3,535 ", 177 
"$50,000 under $75,000",14054," 5,456 ", 133 
"$75,000 under $100,000",14054," 3,913 ", 65 
"$100,000 under $200,000",14054," 5,390 ", 49 
"$200,000 or more",14054, . , * 
,,,
,14055," 21,540 ", 704 
"Under $10,000",14055, 48 , 132 
"$10,000 under $25,000",14055, 769 , 138 
"$25,000 under $50,000",14055," 3,357 ", 164 
"$50,000 under $75,000",14055," 4,910 ", 120 
"$75,000 under $100,000",14055," 5,173 ", 85 
"$100,000 under $200,000",14055," 7,282 ", 65 
"$200,000 or more",14055, . , * 
,,,
,14057," 140,404 "," 4,041 "
"Under $10,000",14057, 308 , 778 
"$10,000 under $25,000",14057," 4,089 ", 756 
"$25,000 under $50,000",14057," 17,005 ", 839 
"$50,000 under $75,000",14057," 25,457 ", 627 
"$75,000 under $100,000",14057," 28,768 ", 482 
"$100,000 under $200,000",14057," 47,007 ", 499 
"$200,000 or more",14057," 17,770 ", 60 
,,,
,14058," 32,212 "," 1,075 "
"Under $10,000",14058, 60 , 174 
"$10,000 under $25,000",14058," 1,312 ", 238 
"$25,000 under $50,000",14058," 5,362 ", 281 
"$50,000 under $75,000",14058," 7,227 ", 180 
"$75,000 under $100,000",14058," 7,587 ", 123 
"$100,000 under $200,000",14058," 10,664 ", 79 
"$200,000 or more",14058, . , * 
,,,
,14059," 262,351 "," 4,720 "
"Under $10,000",14059, 404 , 847 
"$10,000 under $25,000",14059," 4,450 ", 809 
"$25,000 under $50,000",14059," 19,242 ", 944 
"$50,000 under $75,000",14059," 28,829 ", 715 
"$75,000 under $100,000",14059," 33,461 ", 554 
"$100,000 under $200,000",14059," 65,342 ", 677 
"$200,000 or more",14059," 110,622 ", 174 
,,,
,14062," 41,900 "," 1,578 "
"Under $10,000",14062, 52 , 283 
"$10,000 under $25,000",14062," 1,728 ", 344 
"$25,000 under $50,000",14062," 9,279 ", 449 
"$50,000 under $75,000",14062," 11,164 ", 278 
"$75,000 under $100,000",14062," 8,717 ", 139 
"$100,000 under $200,000",14062," 10,961 ", 85 
"$200,000 or more",14062, . , * 
,,,
,14063," 166,567 "," 5,430 "
"Under $10,000",14063, 375 ," 1,174 "
"$10,000 under $25,000",14063," 5,940 "," 1,112 "
"$25,000 under $50,000",14063," 24,795 "," 1,192 "
"$50,000 under $75,000",14063," 32,574 ", 802 
"$75,000 under $100,000",14063," 34,192 ", 561 
"$100,000 under $200,000",14063," 50,218 ", 519 
"$200,000 or more",14063," 18,473 ", 70 
,,,
,14065," 17,340 ", 791 
"Under $10,000",14065, 40 , 147 
"$10,000 under $25,000",14065, 917 , 177 
"$25,000 under $50,000",14065," 4,375 ", 236 
"$50,000 under $75,000",14065," 5,501 ", 139 
"$75,000 under $100,000",14065," 3,951 ", 67 
"$100,000 under $200,000",14065," 2,555 ", 25 
"$200,000 or more",14065, . , * 
,,,
,14066," 10,844 ", 483 
"Under $10,000",14066, 28 , 88 
"$10,000 under $25,000",14066, 515 , 124 
"$25,000 under $50,000",14066," 2,403 ", 131 
"$50,000 under $75,000",14066," 3,075 ", 76 
"$75,000 under $100,000",14066," 2,622 ", 43 
"$100,000 under $200,000",14066," 2,202 ", 21 
"$200,000 or more",14066, . , * 
,,,
,14067," 68,270 "," 2,445 "
"Under $10,000",14067, 152 , 401 
"$10,000 under $25,000",14067," 2,797 ", 547 
"$25,000 under $50,000",14067," 12,724 ", 639 
"$50,000 under $75,000",14067," 16,122 ", 407 
"$75,000 under $100,000",14067," 15,631 ", 257 
"$100,000 under $200,000",14067," 16,961 ", 181 
"$200,000 or more",14067," 3,884 ", 13 
,,,
,14068," 201,865 "," 3,508 "
"Under $10,000",14068, 294 , 697 
"$10,000 under $25,000",14068," 2,880 ", 525 
"$25,000 under $50,000",14068," 12,176 ", 586 
"$50,000 under $75,000",14068," 17,151 ", 435 
"$75,000 under $100,000",14068," 23,414 ", 387 
"$100,000 under $200,000",14068," 66,639 ", 661 
"$200,000 or more",14068," 79,310 ", 217 
,,,
,14069," 15,124 ", 422 
"Under $10,000",14069, -   , 75 
"$10,000 under $25,000",14069, 290 , 57 
"$25,000 under $50,000",14069," 1,927 ", 91 
"$50,000 under $75,000",14069," 3,435 ", 87 
"$75,000 under $100,000",14069," 3,146 ", 53 
"$100,000 under $200,000",14069," 6,325 ", 59 
"$200,000 or more",14069, . , * 
,,,
,14070," 59,484 "," 2,395 "
"Under $10,000",14070, 100 , 452 
"$10,000 under $25,000",14070," 3,089 ", 586 
"$25,000 under $50,000",14070," 14,249 ", 678 
"$50,000 under $75,000",14070," 14,838 ", 361 
"$75,000 under $100,000",14070," 12,862 ", 203 
"$100,000 under $200,000",14070," 9,697 ", 99 
"$200,000 or more",14070," 4,649 ", 16 
,,,
,14072," 485,612 "," 10,210 "
"Under $10,000",14072, 899 ," 1,815 "
"$10,000 under $25,000",14072," 10,094 "," 1,665 "
"$25,000 under $50,000",14072," 40,022 "," 1,931 "
"$50,000 under $75,000",14072," 59,097 "," 1,461 "
"$75,000 under $100,000",14072," 77,834 "," 1,293 "
"$100,000 under $200,000",14072," 161,419 "," 1,658 "
"$200,000 or more",14072," 136,248 ", 387 
,,,
,14075," 820,237 "," 21,554 "
"Under $10,000",14075," 1,379 "," 3,791 "
"$10,000 under $25,000",14075," 23,507 "," 4,082 "
"$25,000 under $50,000",14075," 100,831 "," 4,746 "
"$50,000 under $75,000",14075," 136,030 "," 3,344 "
"$75,000 under $100,000",14075," 154,949 "," 2,558 "
"$100,000 under $200,000",14075," 251,964 "," 2,623 "
"$200,000 or more",14075," 151,578 ", 410 
,,,
,14080," 74,664 "," 2,161 "
"Under $10,000",14080, 102 , 385 
"$10,000 under $25,000",14080," 2,160 ", 392 
"$25,000 under $50,000",14080," 10,863 ", 524 
"$50,000 under $75,000",14080," 14,195 ", 362 
"$75,000 under $100,000",14080," 15,201 ", 247 
"$100,000 under $200,000",14080," 20,188 ", 217 
"$200,000 or more",14080," 11,955 ", 34 
,,,
,14081," 27,589 "," 1,246 "
"Under $10,000",14081, 52 , 256 
"$10,000 under $25,000",14081," 1,425 ", 304 
"$25,000 under $50,000",14081," 6,668 ", 332 
"$50,000 under $75,000",14081," 7,319 ", 185 
"$75,000 under $100,000",14081," 5,812 ", 91 
"$100,000 under $200,000",14081," 6,313 ", 68 
"$200,000 or more",14081, -   , 10 
,,,
,14082," 6,677 ", 255 
"Under $10,000",14082, -   , 48 
"$10,000 under $25,000",14082, 403 , 56 
"$25,000 under $50,000",14082," 1,471 ", 72 
"$50,000 under $75,000",14082," 1,550 ", 38 
"$75,000 under $100,000",14082," 1,482 ", 24 
"$100,000 under $200,000",14082," 1,771 ", 17 
"$200,000 or more",14082, . , * 
,,,
,14085," 152,496 "," 3,570 "
"Under $10,000",14085, 262 , 619 
"$10,000 under $25,000",14085," 3,312 ", 579 
"$25,000 under $50,000",14085," 12,758 ", 621 
"$50,000 under $75,000",14085," 22,158 ", 566 
"$75,000 under $100,000",14085," 30,498 ", 514 
"$100,000 under $200,000",14085," 55,620 ", 602 
"$200,000 or more",14085," 27,888 ", 69 
,,,
,14086," 620,196 "," 15,954 "
"Under $10,000",14086," 1,288 "," 2,670 "
"$10,000 under $25,000",14086," 16,471 "," 2,723 "
"$25,000 under $50,000",14086," 68,804 "," 3,216 "
"$50,000 under $75,000",14086," 100,363 "," 2,485 "
"$75,000 under $100,000",14086," 124,798 "," 2,085 "
"$100,000 under $200,000",14086," 238,153 "," 2,491 "
"$200,000 or more",14086," 70,318 ", 284 
,,,
,14091," 16,508 ", 618 
"Under $10,000",14091, 20 , 108 
"$10,000 under $25,000",14091, 774 , 138 
"$25,000 under $50,000",14091," 3,643 ", 180 
"$50,000 under $75,000",14091," 4,061 ", 103 
"$75,000 under $100,000",14091," 3,063 ", 50 
"$100,000 under $200,000",14091," 4,946 ", 39 
"$200,000 or more",14091, . , * 
,,,
,14092," 246,541 "," 5,643 "
"Under $10,000",14092, 317 , 998 
"$10,000 under $25,000",14092," 5,855 "," 1,043 "
"$25,000 under $50,000",14092," 23,497 "," 1,150 "
"$50,000 under $75,000",14092," 38,177 ", 918 
"$75,000 under $100,000",14092," 40,409 ", 656 
"$100,000 under $200,000",14092," 67,612 ", 697 
"$200,000 or more",14092," 70,674 ", 181 
,,,
,14094," 714,312 "," 24,378 "
"Under $10,000",14094," 1,471 "," 4,472 "
"$10,000 under $25,000",14094," 32,299 "," 5,810 "
"$25,000 under $50,000",14094," 122,618 "," 5,980 "
"$50,000 under $75,000",14094," 141,019 "," 3,460 "
"$75,000 under $100,000",14094," 140,225 "," 2,315 "
"$100,000 under $200,000",14094," 197,697 "," 2,081 "
"$200,000 or more",14094," 78,983 ", 260 
,,,
,14095," 8,821 ", 371 
"Under $10,000",14095, -   , 57 
"$10,000 under $25,000",14095, 530 , 96 
"$25,000 under $50,000",14095," 2,764 ", 130 
"$50,000 under $75,000",14095," 1,875 ", 43 
"$75,000 under $100,000",14095," 1,807 ", 29 
"$100,000 under $200,000",14095," 1,845 ", 16 
"$200,000 or more",14095, . , * 
,,,
,14098," 35,289 "," 1,394 "
"Under $10,000",14098, 41 , 239 
"$10,000 under $25,000",14098," 1,899 ", 356 
"$25,000 under $50,000",14098," 6,702 ", 369 
"$50,000 under $75,000",14098," 8,763 ", 223 
"$75,000 under $100,000",14098," 7,161 ", 118 
"$100,000 under $200,000",14098," 7,224 ", 76 
"$200,000 or more",14098," 3,498 ", 13 
,,,
,14101," 18,331 ", 826 
"Under $10,000",14101, 31 , 150 
"$10,000 under $25,000",14101, 987 , 217 
"$25,000 under $50,000",14101," 4,488 ", 231 
"$50,000 under $75,000",14101," 4,796 ", 121 
"$75,000 under $100,000",14101," 4,395 ", 70 
"$100,000 under $200,000",14101," 3,635 ", 37 
"$200,000 or more",14101, . , * 
,,,
,14102," 22,944 ", 650 
"Under $10,000",14102, 49 , 116 
"$10,000 under $25,000",14102, 673 , 128 
"$25,000 under $50,000",14102," 2,662 ", 137 
"$50,000 under $75,000",14102," 4,386 ", 109 
"$75,000 under $100,000",14102," 4,480 ", 77 
"$100,000 under $200,000",14102," 10,695 ", 83 
"$200,000 or more",14102, . , * 
,,,
,14103," 114,476 "," 5,040 "
"Under $10,000",14103, 227 ," 1,044 "
"$10,000 under $25,000",14103," 6,245 "," 1,310 "
"$25,000 under $50,000",14103," 25,035 "," 1,306 "
"$50,000 under $75,000",14103," 28,945 ", 729 
"$75,000 under $100,000",14103," 23,039 ", 374 
"$100,000 under $200,000",14103," 24,344 ", 253 
"$200,000 or more",14103," 6,641 ", 24 
,,,
,14105," 59,460 "," 2,135 "
"Under $10,000",14105, 85 , 389 
"$10,000 under $25,000",14105," 2,473 ", 503 
"$25,000 under $50,000",14105," 10,709 ", 547 
"$50,000 under $75,000",14105," 14,575 ", 366 
"$75,000 under $100,000",14105," 10,115 ", 170 
"$100,000 under $200,000",14105," 14,511 ", 148 
"$200,000 or more",14105," 6,993 ", 12 
,,,
,14108," 92,805 "," 2,768 "
"Under $10,000",14108, 128 , 458 
"$10,000 under $25,000",14108," 3,092 ", 626 
"$25,000 under $50,000",14108," 14,201 ", 708 
"$50,000 under $75,000",14108," 20,385 ", 500 
"$75,000 under $100,000",14108," 15,398 ", 254 
"$100,000 under $200,000",14108," 18,392 ", 197 
"$200,000 or more",14108," 21,209 ", 25 
,,,
,14111," 42,553 "," 1,577 "
"Under $10,000",14111, 73 , 294 
"$10,000 under $25,000",14111," 1,937 ", 356 
"$25,000 under $50,000",14111," 7,806 ", 382 
"$50,000 under $75,000",14111," 10,465 ", 270 
"$75,000 under $100,000",14111," 10,209 ", 168 
"$100,000 under $200,000",14111," 12,064 ", 107 
"$200,000 or more",14111, . , * 
,,,
,14113," 10,307 ", 412 
"Under $10,000",14113, 28 , 91 
"$10,000 under $25,000",14113, 468 , 78 
"$25,000 under $50,000",14113," 2,124 ", 108 
"$50,000 under $75,000",14113," 2,824 ", 72 
"$75,000 under $100,000",14113," 2,509 ", 41 
"$100,000 under $200,000",14113," 2,354 ", 22 
"$200,000 or more",14113, . , * 
,,,
,14120," 690,079 "," 22,460 "
"Under $10,000",14120," 1,592 "," 4,031 "
"$10,000 under $25,000",14120," 28,756 "," 5,001 "
"$25,000 under $50,000",14120," 113,503 "," 5,425 "
"$50,000 under $75,000",14120," 135,624 "," 3,325 "
"$75,000 under $100,000",14120," 139,159 "," 2,296 "
"$100,000 under $200,000",14120," 204,159 "," 2,157 "
"$200,000 or more",14120," 67,286 ", 225 
,,,
,14125," 44,059 "," 1,804 "
"Under $10,000",14125, 96 , 381 
"$10,000 under $25,000",14125," 2,130 ", 438 
"$25,000 under $50,000",14125," 8,330 ", 430 
"$50,000 under $75,000",14125," 10,439 ", 268 
"$75,000 under $100,000",14125," 10,314 ", 170 
"$100,000 under $200,000",14125," 12,750 ", 117 
"$200,000 or more",14125, . , * 
,,,
,14126," 11,853 ", 374 
"Under $10,000",14126, 12 , 83 
"$10,000 under $25,000",14126, 396 , 99 
"$25,000 under $50,000",14126," 1,797 ", 88 
"$50,000 under $75,000",14126," 1,662 ", 40 
"$75,000 under $100,000",14126," 1,503 ", 24 
"$100,000 under $200,000",14126," 6,482 ", 40 
"$200,000 or more",14126, . , * 
,,,
,14127," 881,707 "," 15,308 "
"Under $10,000",14127," 1,234 "," 2,815 "
"$10,000 under $25,000",14127," 13,832 "," 2,380 "
"$25,000 under $50,000",14127," 60,534 "," 2,811 "
"$50,000 under $75,000",14127," 86,150 "," 2,107 "
"$75,000 under $100,000",14127," 103,394 "," 1,733 "
"$100,000 under $200,000",14127," 243,810 "," 2,483 "
"$200,000 or more",14127," 372,754 ", 979 
,,,
,14129," 16,209 ", 600 
"Under $10,000",14129, 25 , 91 
"$10,000 under $25,000",14129, 658 , 138 
"$25,000 under $50,000",14129," 3,552 ", 169 
"$50,000 under $75,000",14129," 4,071 ", 99 
"$75,000 under $100,000",14129," 4,003 ", 65 
"$100,000 under $200,000",14129," 3,901 ", 38 
"$200,000 or more",14129, . , * 
,,,
,14131," 75,328 "," 2,608 "
"Under $10,000",14131, 136 , 486 
"$10,000 under $25,000",14131," 3,007 ", 557 
"$25,000 under $50,000",14131," 12,975 ", 644 
"$50,000 under $75,000",14131," 16,235 ", 402 
"$75,000 under $100,000",14131," 16,009 ", 266 
"$100,000 under $200,000",14131," 22,128 ", 236 
"$200,000 or more",14131," 4,838 ", 17 
,,,
,14132," 80,987 "," 2,861 "
"Under $10,000",14132, 222 , 517 
"$10,000 under $25,000",14132," 3,263 ", 623 
"$25,000 under $50,000",14132," 13,794 ", 682 
"$50,000 under $75,000",14132," 19,171 ", 483 
"$75,000 under $100,000",14132," 17,885 ", 299 
"$100,000 under $200,000",14132," 22,870 ", 243 
"$200,000 or more",14132," 3,781 ", 14 
,,,
,14136," 59,255 "," 2,390 "
"Under $10,000",14136, 148 , 468 
"$10,000 under $25,000",14136," 3,282 ", 617 
"$25,000 under $50,000",14136," 11,850 ", 607 
"$50,000 under $75,000",14136," 15,052 ", 363 
"$75,000 under $100,000",14136," 10,877 ", 178 
"$100,000 under $200,000",14136," 13,471 ", 140 
"$200,000 or more",14136," 4,574 ", 17 
,,,
,14138," 18,598 ", 873 
"Under $10,000",14138, 33 , 155 
"$10,000 under $25,000",14138," 1,062 ", 254 
"$25,000 under $50,000",14138," 4,395 ", 232 
"$50,000 under $75,000",14138," 5,164 ", 132 
"$75,000 under $100,000",14138," 4,099 ", 65 
"$100,000 under $200,000",14138," 3,846 ", 35 
"$200,000 or more",14138, . , * 
,,,
,14139," 45,128 "," 1,202 "
"Under $10,000",14139, 81 , 237 
"$10,000 under $25,000",14139," 1,220 ", 224 
"$25,000 under $50,000",14139," 4,908 ", 244 
"$50,000 under $75,000",14139," 7,191 ", 183 
"$75,000 under $100,000",14139," 9,238 ", 148 
"$100,000 under $200,000",14139," 13,332 ", 141 
"$200,000 or more",14139," 9,159 ", 25 
,,,
,14141," 112,406 "," 3,732 "
"Under $10,000",14141, 226 , 680 
"$10,000 under $25,000",14141," 4,664 ", 880 
"$25,000 under $50,000",14141," 17,806 ", 883 
"$50,000 under $75,000",14141," 23,752 ", 592 
"$75,000 under $100,000",14141," 21,752 ", 360 
"$100,000 under $200,000",14141," 28,585 ", 301 
"$200,000 or more",14141," 15,621 ", 36 
,,,
,14143," 19,841 ", 687 
"Under $10,000",14143, 38 , 108 
"$10,000 under $25,000",14143, 984 , 172 
"$25,000 under $50,000",14143," 3,372 ", 164 
"$50,000 under $75,000",14143," 4,765 ", 118 
"$75,000 under $100,000",14143," 4,519 ", 73 
"$100,000 under $200,000",14143," 6,164 ", 52 
"$200,000 or more",14143, . , * 
,,,
,14145," 22,810 ", 786 
"Under $10,000",14145, 60 , 144 
"$10,000 under $25,000",14145, 822 , 153 
"$25,000 under $50,000",14145," 3,914 ", 196 
"$50,000 under $75,000",14145," 5,532 ", 140 
"$75,000 under $100,000",14145," 5,404 ", 87 
"$100,000 under $200,000",14145," 7,079 ", 66 
"$200,000 or more",14145, . , * 
,,,
,14150," 583,179 "," 21,762 "
"Under $10,000",14150," 1,339 "," 3,784 "
"$10,000 under $25,000",14150," 30,178 "," 5,327 "
"$25,000 under $50,000",14150," 121,117 "," 5,713 "
"$50,000 under $75,000",14150," 145,546 "," 3,498 "
"$75,000 under $100,000",14150," 124,107 "," 1,992 "
"$100,000 under $200,000",14150," 126,209 "," 1,329 "
"$200,000 or more",14150," 34,683 ", 119 
,,,
,14167," 22,403 ", 795 
"Under $10,000",14167, 38 , 122 
"$10,000 under $25,000",14167," 1,038 ", 181 
"$25,000 under $50,000",14167," 4,329 ", 208 
"$50,000 under $75,000",14167," 5,687 ", 139 
"$75,000 under $100,000",14167," 5,256 ", 85 
"$100,000 under $200,000",14167," 6,056 ", 60 
"$200,000 or more",14167, . , * 
,,,
,14170," 54,452 "," 1,234 "
"Under $10,000",14170, 63 , 186 
"$10,000 under $25,000",14170," 1,168 ", 209 
"$25,000 under $50,000",14170," 5,747 ", 277 
"$50,000 under $75,000",14170," 9,094 ", 225 
"$75,000 under $100,000",14170," 9,384 ", 159 
"$100,000 under $200,000",14170," 13,888 ", 145 
"$200,000 or more",14170," 15,108 ", 33 
,,,
,14171," 24,965 "," 1,045 "
"Under $10,000",14171, 49 , 197 
"$10,000 under $25,000",14171," 1,213 ", 246 
"$25,000 under $50,000",14171," 5,485 ", 279 
"$50,000 under $75,000",14171," 6,955 ", 171 
"$75,000 under $100,000",14171," 5,816 ", 94 
"$100,000 under $200,000",14171," 5,447 ", 58 
"$200,000 or more",14171, . , * 
,,,
,14172," 50,386 "," 1,587 "
"Under $10,000",14172, 97 , 294 
"$10,000 under $25,000",14172," 1,665 ", 322 
"$25,000 under $50,000",14172," 7,115 ", 361 
"$50,000 under $75,000",14172," 10,447 ", 262 
"$75,000 under $100,000",14172," 10,245 ", 169 
